Internal ID Number,Name,Constellation,Bayer,HIP,TYC,HD,_RAJ2000,_DEJ2000,V,B-V
Str_CrB_00003055,,Corona Borealis,pi. CrB,77048.0,2574  1972 1,140716.0,235.9970827748,32.5158005739,5.57,1.074
Str_UMa_00003056,,Ursa Major,UMa,56770.0,3015  2320 1,101107.0,174.5857141803,43.6254250929,5.57,0.343
Str_Lyr_00003057,,Lyra,,89482.0,3111  2338 1,167965.0,273.9115742107,42.159345283600004,5.57,-0.122
Str_And_00003058,,Andromeda,And,10944.0,3302   908 1,14392.0,35.2425280177,50.1514609124,5.57,-0.077
Str_Cas_00003059,,Cassiopeia,,118077.0,4005  1055 1,224355.0,359.2853102429,55.7057023375,5.57,0.484
Str_Cas_00003060,,Cassiopeia,,114622.0,4006  1866 1,,348.31143134,57.16763844,5.57,
Str_Cas_00003061,,Cassiopeia,Cas,531.0,4022  1776 1,144.0,1.6105959549000002,64.1961679578,5.57,-0.028
Str_Cas_00003062,,Cassiopeia,Cas,5589.0,4038  1990 1,6972.0,17.9225134712,65.0188629127,5.57,-0.075
Str_UMa_00003063,,Ursa Major,UMa,43903.0,4131  1800 1,75958.0,134.1560124301,64.6038311474,5.57,0.879
Str_Cas_00003064,,Cassiopeia,Cas,7965.0,4310   903 1,10221.0,25.585533269899997,68.0430221941,5.57,-0.053
Str_Hya_00003065,,Hydra,Hya,43496.0,4876  1546 1,75737.0,132.8934174849,-7.1771920953,5.57,0.153
Str_Vir_00003066,,Virgo,g Vir,64122.0,5537  1459 1,114113.0,197.1352807642,-8.9843933517,5.57,1.172
Str_Cet_00003067,,Cetus,,3741.0,5850  2546 1,4622.0,12.0044303705,-21.722501373000004,5.57,-0.051
Str_Vir_00003068,,Virgo,Vir,67057.0,6123   583 1,119605.0,206.12427701939998,-16.1790754747,5.57,0.789
Str_Oph_00003069,,Ophiucus,,81754.0,6225   405 1,150453.0,250.4737093047,-19.9243756105,5.57,0.421
Str_Sgr_00003070,,Sagittarius,Sgr,95564.0,6309  1875 1,182629.0,291.5798196415,-21.776698333899997,5.57,1.229
Str_Eri_00003071,,Eridanus,,21743.0,6465  1957 1,29737.0,70.0283418672,-24.4823768891,5.57,0.925
Str_Hya_00003072,,Hydra,,51364.0,6632  1001 1,90957.0,157.37071685639998,-29.6638338024,5.57,1.4169999999999998
Str_Col_00003073,,Columba,,25608.0,7067  1263 1,36187.0,82.0638993121,-37.2307670544,5.57,0.022
Str_Hya_00003074,,Hydra,,60735.0,7237  1595 1,108323.0,186.71538422240002,-32.8301233433,5.57,0.004
Str_Cen_00003075,,Centaurus,,70243.0,7290  2334 1,125745.0,215.5821712363,-34.786786609699995,5.57,-0.092
Str_Phe_00003076,,Phoenix,,9313.0,7546  1194 1,12296.0,29.911731153,-42.0305376127,5.57,1.05
Str_Vel_00003077,,Vela,,50241.0,7716  3652 1,89062.0,153.8815367912,-43.112365920500004,5.57,1.514
Str_Gru_00003078,,Grus,,106429.0,7992   784 1,204960.0,323.34797257400004,-44.84870717800001,5.57,1.047
Str_Phe_00003079,,Phoenix,,2711.0,8030  1170 1,3158.0,8.6159617577,-52.373074285200005,5.57,0.473
Str_Gru_00003080,,Grus,,107649.0,8437    31 1,207129.0,327.0656274144,-47.3036180829,5.57,0.603
Str_Ind_00003081,,Indus,,110935.0,9124  1805 1,212728.0,337.1569722585,-67.4890529171,5.57,0.205
Str_Hyi_00003082,,Hydrus,pi.01 Hyi,10418.0,9144   663 1,14141.0,33.5606058369,-67.8414500827,5.57,1.525
Str_Oct_00003083,,Octans,rho Oct,76996.0,9513   132 1,137333.0,235.8205837639,-84.46526804,5.57,0.114
Str_Vir_00003084,,Virgo,d01 Vir,61968.0,296  1051 1,110423.0,190.4879930434,6.8066143964,5.58,0.001
Str_Oph_00003085,,Ophiucus,,85749.0,418  2364 1,158837.0,262.8388930972,2.7245154306,5.58,0.8340000000000001
Str_Aql_00003086,,Aquila,Ser,92872.0,461   769 1,175515.0,283.8643541308,6.6153035969000005,5.58,1.037
Str_Aql_00003087,,Aquila,Aql,94727.0,472  3465 1,180482.0,289.1293119843,4.8347961083,5.58,0.08199999999999999
Str_Psc_00003088,,Pisces,Psc,117683.0,590   329 1,223719.0,357.99098584120003,2.9303789967,5.58,1.537
Str_Tau_00003089,,Taurus,h Tau,20219.0,679   750 1,27397.0,64.99042955590001,14.035178551500001,5.58,0.28800000000000003
Str_Cnc_00003090,,Cancer,Cnc,41400.0,804  1492 1,71250.0,126.6830777615,12.6546101861,5.58,1.533
Str_Vir_00003091,,Virgo,A02 Vir,58110.0,865  1308 1,103484.0,178.76304357830003,8.443944095800001,5.58,0.918
Str_Boo_00003092,,Boötes,,66640.0,896   910 1,118889.0,204.89424833810003,10.746269073499999,5.58,0.334
Str_Peg_00003093,,Pegasus,Peg,110986.0,1151   735 1,213119.0,337.2832449611,9.129034173600001,5.58,1.5830000000000002
Str_Ari_00003094,,Aries,the Ari,10732.0,1217  1559 1,14191.0,34.5314055386,19.901157895,5.58,0.008
Str_Leo_00003095,,Leo,Leo,55765.0,1437  2846 1,99285.0,171.40156082139998,16.456526055,5.58,0.374
Str_Aql_00003096,,Aquila,,94624.0,1599  3869 1,180262.0,288.8337108542,15.083651078599999,5.58,1.045
Str_Ari_00003097,,Aries,Ari,10535.0,1769  1309 1,13872.0,33.9282510214,25.0430439646,5.58,0.51
Str_Tau_00003098,,Taurus,,27629.0,1870  1883 1,39004.0,87.7421335404,27.9678658786,5.58,0.976
Str_Cnc_00003099,,Cancer,phi01 Cnc,41377.0,1947  1495 1,71093.0,126.6154261875,27.8935762875,5.58,1.406
Str_Gem_00003100,,Gemini,Gem,37204.0,2461  2342 1,60986.0,114.63693760379999,35.0485497272,5.58,0.916
Str_LMi_00003101,,Leo Minor,LMi,51685.0,2514  1295 1,91365.0,158.3788018578,34.988694445300005,5.58,0.026
Str_Lyr_00003102,,Lyra,del01 Lyr,92728.0,2650  2146 1,175426.0,283.4315061232,36.97171929,5.58,-0.141
Str_Cyg_00003103,,Cygnus,Cyg,100108.0,2684  2041 1,193369.0,304.6193986268,36.9998007897,5.58,0.052000000000000005
Str_Peg_00003104,,Pegasus,Peg,115271.0,2752  2220 1,220088.0,350.2064773742,30.414919659299997,5.58,1.504
Str_Boo_00003105,,Boötes,g Boo,70791.0,3475  1198 1,127243.0,217.157552092,49.844844381,5.58,0.856
Str_Cyg_00003106,,Cygnus,,100437.0,3572  2102 1,194152.0,305.5223576742,45.795000119399994,5.58,1.081
Str_Cas_00003107,,Cassiopeia,,114924.0,3998  2448 1,219623.0,349.1762513385,53.2134690611,5.58,0.547
Str_Cas_00003108,,Cassiopeia,,124.0,4014  3304 1,224893.0,0.4042559429,61.2227932278,5.58,0.404
Str_Mon_00003109,,Monoceros,,36388.0,4821  2975 1,59311.0,112.32778129299999,-1.9053245078,5.58,1.492
Str_Hya_00003110,,Hydra,Hya,46221.0,4889  1261 1,81420.0,141.350159328,-5.1174023664,5.58,1.5119999999999998
Str_Aqr_00003111,,Aquarius,Aqr,115142.0,5249  1398 1,219877.0,349.84992582089995,-5.1243545245,5.58,0.381
Str_Cet_00003112,,Cetus,Cet,5164.0,5273  2656 1,6530.0,16.5214507186,-9.8393532905,5.58,0.006
Str_Eri_00003113,,Eridanus,,16263.0,5302   688 1,21688.0,52.4001073846,-12.6747286925,5.58,0.161
Str_Eri_00003114,,Eridanus,,16780.0,5306   941 1,22409.0,53.9902677616,-11.1937860953,5.58,0.905
Str_CMa_00003115,,Canis Major,,35615.0,5407  1560 1,57478.0,110.2428621593,-14.360484551099999,5.58,0.953
Str_Cap_00003116,,Capricornus,lam Cap,107517.0,5796  1288 1,207052.0,326.6337293373,-11.3659563086,5.58,-0.005
Str_Cet_00003117,,Cetus,,7679.0,5857   394 1,10148.0,24.715793887399997,-21.2753874227,5.58,0.332
Str_Pup_00003118,,Puppis,,40944.0,6005  5151 1,,125.3384282716,-20.0790478892,5.58,0.772
Str_Hya_00003119,,Hydra,,49569.0,6050  1772 1,87808.0,151.7895738591,-17.141733816400002,5.58,1.481
Str_Sgr_00003120,,Sagittarius,,93996.0,6291  1685 1,178175.0,287.0695922631,-19.2902834956,5.58,-0.09
Str_CMa_00003121,,Canis Major,,35044.0,6532  1908 1,56160.0,108.7131665559,-27.037996660500003,5.58,1.225
Str_PsA_00003122,,Pisces Austrinus,,109737.0,6958  1670 1,210848.0,333.4351309937,-25.180908699099998,5.58,0.504
Str_Pup_00003123,,Puppis,,40678.0,7130  1652 1,70002.0,124.57247687540001,-35.4516937233,5.58,1.248
Str_Ant_00003124,,Antlia,del Ant,51376.0,7184  2064 1,90972.0,157.3974194909,-30.607065482800003,5.58,-0.044
Str_Lup_00003125,,Lupus,ksi02 Lup,78106.0,7337  1460 1,142630.0,239.22547632439998,-33.9642650125,5.58,0.069
Str_Sgr_00003126,,Sagittarius,Sgr,90260.0,7393  1807 1,169233.0,276.2559355044,-30.756569580900003,5.58,1.117
Str_Vel_00003127,,Vela,,45924.0,7699  4077 1,81034.0,140.46244988889998,-42.1948689237,5.58,1.6030000000000002
Str_Sgr_00003128,,Sagittarius,kap01 Sgr,100469.0,7957   549 1,193571.0,305.6145920916,-42.0495549811,5.58,0.008
Str_Mic_00003129,,Microscopium,,105913.0,7987    53 1,204018.0,321.75691927,-42.54796575,5.58,0.401
Str_Car_00003130,,Carina,,31079.0,8115  1215 1,46569.0,97.8263223544,-51.825956256000005,5.58,0.539
Str_Car_00003131,,Carina,,38152.0,8561  1521 1,64067.0,117.2779766102,-56.4103578378,5.58,1.096
